Pressure (P),Temperature (T),Z (Pitzer),Z (PR),Z (RK)
70,291,0.8703224644860443,0.8546425713402148,0.874588177284074
70,292,0.8719367844047743,0.8564871505657773,0.876283209192668
70,293,0.8735297056349268,0.8583040522996449,0.8779514230970227
70,294,0.875101573786597,0.8600938524300957,0.8795933994927394
70,295,0.8766527277930205,0.8618571104356623,0.8812097019129421
70,296,0.8781835000612154,0.8635943700022622,0.8828008775758271
70,297,0.8796942166187329,0.8653061596110175,0.8843674580011514
70,298,0.8811851972566307,0.866992993098432,0.8859099595974635
70,299,0.8826567556687784,0.8686553701905152,0.8874288842217593
70,300,0.8841091995876007,0.8702937770123189,0.8889247197131287
70,301,0.8855428309163619,0.8719086865742676,0.8903979404018489
70,302,0.8869579458580893,0.873500559236529,0.8918490075952963
70,303,0.8883548350412344,0.875069843152688,0.8932783700419598
70,304,0.889733783642161,0.8766169746937739,0.8946864643747303
70,305,0.8910950715045554,0.8781423788537583,0.8960737155346024
70,306,0.8924389732558402,0.8796464696374651,0.8974405371758296
70,307,0.8937657584206823,0.8811296504318166,0.8987873320535227
70,308,0.8950756915316717,0.8825923143613277,0.9001144923945763
70,309,0.8963690322372534,0.8840348446286017,0.9014224002528604
70,310,0.8976460354069894,0.8854576148406342,0.9027114278493948
70,311,0.8989069512342225,0.8868609893216223,0.9039819378983565
70,312,0.9001520253362174,0.8882453234129709,0.9052342839195731
70,313,0.9013814988518474,0.8896109637611216,0.9064688105382179
70,314,0.9025956085368936,0.8909582485937972,0.9076858537723067
70,315,0.9037945868570243,0.8922875079852464,0.9088857413086424
70,316,0.9049786620785164,0.8935990641110061,0.910068792767704
70,317,0.9061480583567825,0.8948932314926743,0.9112353199580869
70,318,0.9073029958227603,0.8961703172332011,0.9123856271209199
70,319,0.9084436906672273,0.8974306212430988,0.9135200111648076
70,320,0.9095703552230914,0.8986744364580315,0.9146387618916749
70,321,0.9106831980457167,0.8999020490481697,0.9157421622139925
70,322,0.9117824239913351,0.9011137386196767,0.9168304883637373
80,273,0.8139053375265379,0.7957146910765833,0.8199896181485666
80,274,0.8162678794272263,0.7984831456243957,0.8225955416862301
80,275,0.8185973243755429,0.8012039827068398,0.825154058326601
80,276,0.8208942401177509,0.8038783896877391,0.8276663987220461
80,277,0.8231591827329675,0.8065075123474681,0.8301337492950978
80,278,0.8253926969133385,0.8090924568067241,0.8325572543204216
80,279,0.8275953162365065,0.8116342913400236,0.8349380178857992
80,280,0.8297675634306162,0.8141340480863222,0.8372771057403952
80,281,0.8319099506320825,0.8165927246636047,0.8395755470378865
80,282,0.834022979636347,0.8190112856938214,0.8418343359814957
80,283,0.836107142141838,0.8213906642440103,0.8440544333774245
80,284,0.8381629199873386,0.8237317631890686,0.8462367681026912
80,285,0.8401907853829678,0.826035456501188,0.8483822384929556
80,286,0.8421912011349645,0.8283025904706569,0.8504917136554657
80,287,0.8441646208644633,0.8305339848623299,0.8525660347119408
80,288,0.8461114892204447,0.8327304340118111,0.8546060159757676
80,289,0.8480322420870299,0.834892707865073,0.8566124460676932
80,290,0.8499273067852953,0.837021552964996,0.8585860889737673
80,291,0.851797102269765,0.8391176933880262,0.8605276850491266
80,292,0.8536420393197421,0.8411818316340018,0.8624379519708973
80,293,0.8554625207256307,0.8432146494718993,0.8643175856433041
80,294,0.8572589414703966,0.8452168087441292,0.8661672610578097
80,295,0.8590316889063091,0.8471889521317946,0.8679876331109848
80,296,0.8607811429271033,0.8491317038831891,0.8697793373825615
80,297,0.8625076761356948,0.8510456705076415,0.871542990875988
80,298,0.8642116540075779,0.8529314414366733,0.8732791927236421
80,299,0.8658934350500325,0.8547895896543225,0.8749885248587284
80,300,0.867553370957258,0.8566206722983496,0.87667155265573
80,301,0.8691918067615565,0.8584252312339431,0.8783288255411636
80,302,0.8708090809806736,0.8602037936014311,0.8799608775763212
80,303,0.8724055257614107,0.8619568723394082,0.8815682280134907
80,304,0.8739814670196127,0.8636849666846078,0.8831513818271326
80,305,0.8755372245766346,0.8653885626497632,0.884710830221356
80,306,0.8770731122923888,0.8670681334806041,0.8862470511149452
80,307,0.8785894381950654,0.8687241400931109,0.8877605096051557
80,308,0.8800865046076247,0.8703570314920256,0.8892516584113574
80,309,0.8815646082711468,0.8719672451716007,0.890720938299608
80,310,0.8830240404651308,0.8735552074994909,0.8921687784891179
80,311,0.8844650871248256,0.8751213340846344,0.8935955970415419
80,312,0.885888028955677,0.8766660301299244,0.8950018012339631
80,313,0.8872931415449684,0.8781896907704458,0.8963877879163971
80,314,0.8886806954707355,0.8796927013979685,0.8977539438545719
80,315,0.8900509564080277,0.8811754379723683,0.899100646058731
80,316,0.8914041852325902,0.8826382673206375,0.9004282620991222
80,317,0.8927406381220371,0.8840815474240442,0.9017371504088352
80,318,0.8940605666545832,0.8855056276940227,0.9030276605745902
80,319,0.8953642179054025,0.8869108492373353,0.9043001336160548
80,320,0.8966518345406758,0.8882975451109986,0.905554902254232
80,321,0.8979236549093906,0.889666040567437,0.9067922911694242
80,322,0.8991799131329544,0.8910166532903523,0.9080126172492742
90,273,0.7906435047173551,0.7778272639158859,0.8032851604109683
90,274,0.7933013643556296,0.7808566746509011,0.8061570483614824
90,275,0.7959219899224858,0.783834032106058,0.8089766194202319
90,276,0.7985060201324697,0.786760616361394,0.8117452161476741
90,277,0.8010540805745885,0.789637664529415,0.8144641347643928
90,278,0.8035667840275058,0.7924663725680485,0.8171346271416131
90,279,0.8060447307660699,0.7952478970067001,0.8197579026953257
90,280,0.8084885088594431,0.797983356589453,0.8223351301885062
90,281,0.8108986944610928,0.8006738338393398,0.8248674394457638
90,282,0.8132758520908904,0.8033203765475292,0.8273559229847216
90,283,0.8156205349095677,0.8059239991911162,0.8298016375682031
90,284,0.8179332849857559,0.8084856842831012,0.8322056056812406
90,285,0.8202146335558388,0.8110063836579835,0.8345688169367111
90,286,0.822465101276835,0.8134870196962325,0.8368922294132533
90,287,0.8246851984725213,0.815928486490787,0.839176770928991
90,288,0.8268754253730003,0.8183316509585639,0.8414233402543634
90,289,0.8290362723479086,0.8206973538998295,0.8436328082672693
90,290,0.8311682201334573,0.8230264110080956,0.8458060190535088
90,291,0.8332717400534856,0.8253196138331678,0.8479437909554306
90,292,0.8353472942347099,0.8275777306997085,0.8500469175714425
90,293,0.8373953358163345,0.82980150758368,0.8521161687090126
90,294,0.8394163091541962,0.8319916689487954,0.8541522912935549
90,295,0.8414106500195977,0.834148918545087,0.8561560102355239
90,296,0.8433787857929912,0.8362739401715105,0.858128029257885
90,297,0.8453211356526567,0.8383673984044535,0.8600690316860298
90,298,0.8472381107585252,0.8404299392938859,0.8619796812020644
90,299,0.8491301144312866,0.8424621910287946,0.8638606225653294
90,300,0.8509975423269152,0.844464764573478,0.8657124823008702
90,301,0.852840782606751,0.8464382542761664,0.8675358693574959
90,302,0.8546602161032577,0.8483832384513506,0.8693313757369985
90,303,0.8564562164815871,0.8503002799371575,0.8710995770959646
90,304,0.8582291503970643,0.8521899266289861,0.8728410333215766
90,305,0.859979377648714,0.8540527119906132,0.8745562890827003
90,306,0.8617072513289374,0.8558891555438466,0.8762458743575146
90,307,0.8634131179694486,0.8576997633378063,0.877910304938804
90,308,0.8650973176835779,0.8594850283987929,0.8795500829180514
90,309,0.8667601843050401,0.8612454311617177,0.8811656971493593
90,310,0.8684020455232722,0.8629814398839613,0.8827576236941714
90,311,0.8700232230154288,0.8646935110424925,0.8843263262477452
90,312,0.8716240325751367,0.8663820897150745,0.8858722565482247
90,313,0.8732047842380894,0.8680476099462691,0.887395854769184
90,314,0.8747657824045775,0.8696904950989979,0.8888975498963854
90,315,0.8763073259590312,0.8713111581922817,0.8903777600895233
90,316,0.877829708386664,0.8729100022258494,0.8918368930296512
90,317,0.8793332178872917,0.874487420492182,0.8932753462529679
90,318,0.8808181374864061,0.8760437968765904,0.8946935074715607
90,319,0.8822847451435779,0.8775795061458502,0.8960917548817626
90,320,0.8837333138582603,0.8790949142259299,0.8974704574606247
90,321,0.8851641117730644,0.880590378469289,0.898829975251102
90,322,0.8865774022745737,0.8820662479122067,0.9001706596364094
100,273,0.7673816719081723,0.7624942757914379,0.7889208711338274
100,274,0.7703348492840328,0.765731462125814,0.7920064657781181
100,275,0.7732466554694286,0.7689140767566311,0.7950368606069742
100,276,0.7761178001471886,0.7720433913296371,0.7980133971564647
100,277,0.7789489784162094,0.7751206399569242,0.8009373764372454
100,278,0.781740871141673,0.7781470203764307,0.8038100601830644
100,279,0.7844941452956331,0.7811236950965919,0.8066326720872428
100,280,0.7872094542882702,0.784051792522015,0.8094063990218658
100,281,0.7898874382901031,0.7869324080569786,0.8121323922354915
100,282,0.7925287245454338,0.7897666051842049,0.8148117685260963
100,283,0.7951339276772974,0.7925554165170718,0.8174456113867203
100,284,0.7977036499841732,0.7952998448238311,0.8200349721219609
100,285,0.8002384817287098,0.7980008640229275,0.8225808709339073
100,286,0.8027390014187056,0.8006594201488,0.8250842979766468
100,287,0.8052057760805792,0.8032764322878727,0.8275462143787835
100,288,0.8076393615255559,0.8058527934846744,0.8299675532337185
100,289,0.8100403026087873,0.8083893716182244,0.8323492205577028
100,290,0.8124091334816191,0.810887010248986,0.8346920962158784
100,291,0.8147463778372062,0.8133465294368174,0.8369970348166824
100,292,0.8170525491496776,0.8157687265304543,0.8392648665751012
100,293,0.8193281509070383,0.8181543769291193,0.8414963981454129
100,294,0.8215736768379958,0.8205042348169784,0.8436924134240882
100,295,0.8237896111328864,0.8228190338710988,0.8458536743236102
100,296,0.8259764286588791,0.8250994879437259,0.8479809215180263
100,297,0.8281345951696184,0.8273462917196257,0.8500748751610292
100,298,0.8302645675094724,0.829560121349274,0.8521362355774584
100,299,0.8323667938125406,0.8317416350587192,0.8541656839290568
100,300,0.8344417136965725,0.8338914737368819,0.8561638828553615
100,301,0.8364897584519455,0.8360102615011018,0.8581314770905957
100,302,0.8385113512258419,0.8380986062417095,0.8600690940573996
100,303,0.8405069072017634,0.8401571001463719,0.8619773444382701
100,304,0.8424768337745159,0.8421863202049937,0.8638568227255239
100,305,0.8444215307207933,0.8441868286958778,0.8657081077505779
100,306,0.846341390365486,0.8461591736538825,0.8675317631933843
100,307,0.8482367977438319,0.848103889321254,0.8693283380727337
100,308,0.8501081307595308,0.8500214965818238,0.8710983672182115
100,309,0.8519557603389334,0.8519125033791963,0.8728423717245188
100,310,0.8537800505814135,0.8537774051195968,0.874560859388845
100,311,0.855581358906032,0.8556166850599414,0.8762543251319943
100,312,0.8573600361945963,0.8574308146817469,0.8779232514038833
100,313,0.8591164269312105,0.8592202540514491,0.8795681085740743
100,314,0.8608508693384194,0.8609854521676314,0.8811893553079
100,315,0.8625636955100346,0.8627268472957459,0.8827874389288188
100,316,0.8642552315407378,0.8644448672907648,0.8843627957675102
100,317,0.8659257976525463,0.8661399299083048,0.8859158514982555
100,318,0.8675757083182289,0.8678124431046397,0.8874470214631489
100,319,0.8692052723817532,0.86946280532607,0.8889567109845848
100,320,0.8708147931758448,0.8710914057880654,0.8904453156665262
100,321,0.8724045686367382,0.8726986247445938,0.8919132216850016
100,322,0.873974891416193,0.874284833748016,0.8933608060682561
110,273,0.7441198390989896,0.7498642956413137,0.7771592659946684
110,274,0.7473683342124362,0.7532493369365952,0.7803959530976288
110,275,0.7505713210163716,0.7565794968636523,0.7835770383517076
110,276,0.7537295801619075,0.7598559257550785,0.7867037291016583
110,277,0.7568438762578303,0.7630797488470658,0.7897772065189665
110,278,0.7599149582558404,0.7662520663026794,0.7927986255077735
110,279,0.7629435598251963,0.7693739533262477,0.7957691147255346
110,280,0.7659303997170972,0.7724464603545393,0.7986897767009342
110,281,0.7688761821191133,0.775470613312321,0.8015616880338605
110,282,0.7717815969999772,0.7784474139214612,0.8043858996641389
110,283,0.7746473204450272,0.7813778400542288,0.8071634371975325
110,284,0.7774740149825905,0.7842628461226264,0.8098953012789682
110,285,0.7802623299015807,0.7871033634967266,0.8125824680042983
110,286,0.7830129015605761,0.7899003009459148,0.815225889363071
110,287,0.7857263536886372,0.7926545450977723,0.8178264937057849
110,288,0.7884032976781115,0.7953669609100866,0.8203851862300129
110,289,0.7910443328696661,0.7980383921520808,0.8229028494805362
110,290,0.793650046829781,0.8006696618915063,0.8253803438593219
110,291,0.7962210156209268,0.8032615729847795,0.8278185081417622
110,292,0.7987578040646454,0.8058149085676998,0.8302181599961393
110,293,0.8012609659977421,0.8083304325446803,0.8325800965036676
110,294,0.8037310445217953,0.8108088900747722,0.8349050946769552
110,295,0.8061685722461751,0.81325100805298,0.8371939119749561
110,296,0.808574071524767,0.8156574955856783,0.8394472868129068
110,297,0.8109480546865804,0.81802904445909,0.8416659390658827
110,298,0.8132910242604197,0.8203663296000068,0.8438505705649331
110,299,0.8156034731937947,0.8226700095280899,0.846001865584876
110,300,0.8178858850662297,0.8249407267991948,0.8481204913230591
110,301,0.82013873429714,0.8271791084393263,0.8502070983685153
110,302,0.8223624863484261,0.8293857663688928,0.8522623211610525
110,303,0.8245575979219397,0.8315612978170617,0.8542867784399726
110,304,0.8267245171519675,0.8337062857260227,0.85628107368216
110,305,0.8288636837928727,0.8358212991451359,0.8582457955293976
110,306,0.8309755294020347,0.8379068936148757,0.8601815182048274
110,307,0.833060477518215,0.839963611540635,0.8620888019185067
110,308,0.835118943835484,0.8419919825564195,0.8639681932621066
110,309,0.8371513363728268,0.8439925238785417,0.865820225592814
110,310,0.8391580556395548,0.8459657406494339,0.8676454194065335
110,311,0.8411394947966353,0.8479121262717051,0.8694442827005213
110,312,0.8430960398140559,0.8498321627326411,0.8712173113256092
110,313,0.8450280696243315,0.851726320919276,0.8729649893282156
110,314,0.8469359562722613,0.8535950609242906,0.874687789282296
110,315,0.8488200650610381,0.8554388323428694,0.8763861726114806
110,316,0.8506807546948115,0.8572580745607825,0.8780605899016012
110,317,0.852518377417801,0.8590532170338674,0.8797114812038167
110,318,0.8543332791500519,0.8608246795591525,0.8813392763286114
110,319,0.8561257996199285,0.8625728725378239,0.8829443951308407
110,320,0.8578962724934293,0.8642981972302659,0.8845272477861208
110,321,0.859645025500412,0.8660010460033944,0.8860882350587509
110,322,0.8613723805578123,0.8676818025705002,0.8876277485614539
120,273,0.7208580062898068,0.7399916558052411,0.7681620223820156
120,274,0.7244018191408395,0.743462806096632,0.7714824675270182
120,275,0.7278959865633143,0.7468809363955111,0.7747494357093441
120,276,0.7313413601766263,0.7502469776090772,0.7779638816939147
120,277,0.7347387740994513,0.7535618527551379,0.7811267542155129
120,278,0.7380890453700077,0.7568264756656079,0.7842389943367878
120,279,0.7413929743547597,0.7600417498816149,0.7873015340362506
120,280,0.7446513451459242,0.7632085677189002,0.7903152950013934
120,281,0.7478649259481237,0.7663278094843317,0.7932811876044643
120,282,0.7510344694545206,0.7694003428263959,0.7962001100406602
120,283,0.7541607132127569,0.7724270222042642,0.7990729476105818
120,284,0.7572443799810078,0.7754086884616493,0.8019005721306023
120,285,0.7602861780744518,0.7783461684932004,0.8046838414564716
120,286,0.7632868017024467,0.7812402749923749,0.8074235991070491
120,287,0.7662469312966951,0.7840918062709825,0.8101206739763696
120,288,0.7691672338306671,0.7869015461416666,0.812775880123525
120,289,0.7720483631305448,0.7896702638554486,0.8153900166309405
120,290,0.774890960177943,0.792398714087414,0.8179638675226357
120,291,0.7776956534046475,0.7950876369643154,0.8204982017349645
120,292,0.7804630589796131,0.797737758128559,0.822993773133122
120,293,0.783193781088446,0.8003497888336786,0.8254513205674683
120,294,0.7858884122055949,0.802924426066916,0.8278715679643229
120,295,0.7885475333594637,0.8054623526950304,0.8302552244465247
120,296,0.7911717143906549,0.807964237629895,0.8326029844795191
120,297,0.7937615142035421,0.8104307360108255,0.8349155280392535
120,298,0.796317481011367,0.8128624894009187,0.8371935207985404
120,299,0.7988401525750488,0.8152601259950393,0.8394376143289595
120,300,0.801330056435887,0.817624260837297,0.8416484463156773
120,301,0.8037877101423346,0.8199554960461704,0.8438266407828672
120,302,0.8062136214710103,0.8222544210456134,0.8459728083277176
120,303,0.8086082886421161,0.8245216128006977,0.8480875463611737
120,304,0.8109722005294191,0.8267576360565159,0.8501714393538895
120,305,0.8133058368649521,0.8289630435792101,0.8522250590859244
120,306,0.8156096684385832,0.8311383763981616,0.8542489648990157
120,307,0.8178841572925982,0.8332841640484838,0.8562437039503101
120,308,0.8201297569114371,0.8354009248130414,0.8582098114666301
120,309,0.8223469124067202,0.8374891659634129,0.8601478109984595
120,310,0.8245360606976961,0.8395493839991465,0.8620582146729228
120,311,0.8266976306872384,0.8415820648849145,0.8639415234451557
120,312,0.8288320434335156,0.8435876842850999,0.8657982273475231
120,313,0.8309397123174527,0.8455667077954689,0.8676288057362376
120,314,0.8330210432061033,0.84751959117166,0.8694337275349817
120,315,0.8350764346120416,0.8494467805542011,0.871213451475213
120,316,0.8371062778488854,0.8513487126898854,0.8729684263328727
120,317,0.8391109571830556,0.8532258151493093,0.8746990911612629
120,318,0.8410908499818748,0.8550785065404639,0.8764058755199111
120,319,0.8430463268581039,0.8569071967182351,0.8780891996992761
120,320,0.8449777518110138,0.8587122869897936,0.8797494749411623
120,321,0.8468854823640859,0.860494170315752,0.8813871036547605
120,322,0.8487698696994316,0.8622532315071008,0.8830024796282534
130,273,0.697596173480624,0.7328322840452862,0.7619695207508279
130,274,0.7014353040692427,0.7363310407347093,0.7653083046222835
130,275,0.7052206521102573,0.7397804573691327,0.7685978717781721
130,276,0.7089531401913451,0.743181183906473,0.7718388525828881
130,277,0.7126336719410722,0.7465338806238588,0.7750318922493444
130,278,0.716263132484175,0.7498392157069473,0.778177647976005
130,279,0.7198423888843231,0.7530978630864142,0.7812767863640657
130,280,0.7233722905747513,0.7563105005001072,0.784329981092021
130,281,0.726853669777134,0.7594778077609393,0.7873379108262597
130,282,0.7302873419090639,0.7626004652121204,0.790301257347727
130,283,0.7336741059804867,0.7656791523527177,0.7932207038761128
130,284,0.7370147449794251,0.7687145466180045,0.7960969335742769
130,285,0.7403100262473227,0.7717073223001945,0.7989306282170143
130,286,0.7435607018443172,0.7746581495964896,0.801722467009353
130,287,0.746767508904753,0.7775676937723953,0.8044731255408697
130,288,0.7499311699832227,0.7804366144293028,0.8071832748634846
130,289,0.7530523933914236,0.7832655648663602,0.809853580681307
130,290,0.7561318735261049,0.7860551915274261,0.8124847026419706
130,291,0.759170291188368,0.7888061335248253,0.8150772937198936
130,292,0.762168313894581,0.7915190222322949,0.8176319996825958
130,293,0.7651265961791498,0.7941944809402257,0.8201494586320868
130,294,0.7680457798893945,0.7968331245669463,0.8226303006139546
130,295,0.7709264944727523,0.7994355594203307,0.8250751472874895
130,296,0.7737693572565428,0.8020023830045794,0.8274846116507306
130,297,0.776574973720504,0.8045341838674746,0.8298592978149189
130,298,0.7793439377623143,0.8070315414838705,0.8321998008232856
130,299,0.7820768319563028,0.8094950261715426,0.8345067065096097
130,300,0.7847742278055443,0.8119251990359334,0.8367805913923911
130,301,0.7874366859875291,0.8143226119406131,0.8390220226008425
130,302,0.7900647565935944,0.8166878075006097,0.8412315578292839
130,303,0.7926589793622925,0.8190213190960118,0.843409745316849
130,304,0.7952198839068706,0.8213236709035193,0.8455571238496553
130,305,0.7977479899370313,0.8235953779438232,0.8476742227829166
130,306,0.8002438074751318,0.8258369461428996,0.8497615620806902
130,307,0.8027078370669813,0.8280488724055113,0.8518196523711603
